ogc_fid,zoning,acres,obb_length_ft,obb_width_ft,fill_ratio,network,streets_across,lots,irregular_lots,lot_width_ft,lot_depth_ft,buildable_depth_ft,streets,courts,pct_row,pct_alleys,pct_lots,pct_residual,pct_hazard,hazard_coverage,du_ac,access_mode,error,generator_version
681233,R10,5.6,1755,543,0.256,ladder,2,4,1,115,90,50,4,1,28.7,3.8,16.6,44.5,4.8,ingested,0.71,both,,subdivision_v1.1
681246,RS80,37.85,1575,1497,0.7,grid,3,2,0,365,220,180,5,7,16.7,0,9.6,39.7,0.0,ingested,0.05,end,,subdivision_v1.1
681354,AR2A,29.04,1498,1288,0.656,grid,3,0,0,475,185,145,6,0,22,0,0,76.6,1.4,ingested,0,side,,subdivision_v1.1
681357,R10,38.68,1668,1550,0.652,grid,5,49,0,90,115,75,7,6,24.4,4,29.9,37.5,0.6,ingested,1.27,start,,subdivision_v1.1
681358,R10,10.02,1393,608,0.516,ladder,2,5,1,100,105,65,4,0,23.2,1.2,12.2,60.7,3.5,ingested,0.5,start,,subdivision_v1.1
681460,R15,5.74,559,533,0.84,ladder,2,7,0,170,90,50,3,1,27,4.7,42.9,19.2,0.0,ingested,1.22,both,,subdivision_v1.1
681482,R20,19.65,1803,702,0.676,ladder,2,11,1,155,130,90,5,5,21.3,2.8,26.2,31,7.5,ingested,0.56,start,,subdivision_v1.1
681484,AR2A,26.92,2056,700,0.815,ladder,2,1,0,605,145,105,5,1,20.1,0,7.7,59.5,7.4,ingested,0.04,both,,subdivision_v1.1
681489,R15,4.3,,,0.758,,,0,,,,,,,,,,,100.0,,,,parcel_mostly_in_flood_hazard_or_wetland,subdivision_v1.1
681574,R40,16.61,3100,578,0.404,spine,1,6,4,185,220,180,1,1,14.8,0,36.4,40.4,2.3,ingested,0.36,both,,subdivision_v1.1
681579,R8,2.96,657,392,0.5,spine,1,6,3,75,110,70,1,0,20.9,1.2,47.4,30.6,0.0,ingested,2.03,start,,subdivision_v1.1
681583,RS15,4.53,642,486,0.633,spine,1,5,3,100,150,110,1,2,14.2,4.1,43.2,13.9,6.2,ingested,1.1,both,,subdivision_v1.1
681625,RS10,3.8,1128,626,0.234,ladder,2,6,0,95,110,70,3,2,18.3,5.2,38.9,24.7,0.0,ingested,1.58,both,,subdivision_v1.1
681660,RS10,6.19,1208,561,0.398,ladder,2,6,1,110,95,55,4,2,28.9,4.3,22.7,36.5,0.0,ingested,0.97,both,,subdivision_v1.1
681675,R10,4.57,868,625,0.367,ladder,2,8,0,95,110,70,3,0,19.8,3.9,42.8,33.4,0.0,ingested,1.75,both,,subdivision_v1.1
681691,RS7.5,3.06,835,253,0.63,spine,1,6,0,100,75,35,1,1,27.4,10.5,35.7,20.5,0.0,ingested,1.96,both,,subdivision_v1.1
681694,AR2A,52.58,3183,1449,0.497,grid,3,2,0,415,210,170,8,9,19.8,0,7.7,35.7,3.2,ingested,0.04,end,,subdivision_v1.1
681699,R6,3.53,645,332,0.718,spine,1,10,2,65,95,55,1,1,22.8,6,48.5,17.9,0.0,ingested,2.83,both,,subdivision_v1.1
681723,R15,136.9,8547,2717,0.257,grid,7,78,1,100,150,110,22,5,22.3,1.7,19.5,13.8,53.7,ingested,0.57,side,,subdivision_v1.1
681731,R10,12.7,976,788,0.72,grid,3,21,0,115,90,50,5,3,26.6,6,39.2,22.6,0.0,ingested,1.65,side,,subdivision_v1.1
681733,R15,5.73,,,0.807,,,0,,,,,,,,,,,99.9,,,,parcel_mostly_in_flood_hazard_or_wetland,subdivision_v1.1
681735,R15,5.25,1712,619,0.216,ladder,2,0,0,140,110,70,4,0,23.5,0,0,51.9,37.9,ingested,0,both,,subdivision_v1.1
681736,AR2A,67.14,2639,1627,0.681,grid,4,1,0,500,175,135,8,0,20.8,0,2.9,29.8,58.5,ingested,0.01,start,,subdivision_v1.1
681741,R15,8.45,2934,1065,0.118,grid,3,3,0,115,135,95,7,1,13.8,1.9,12.6,33.3,39.6,ingested,0.36,end,,subdivision_v1.1
681743,AR2A,20.06,1199,915,0.796,ladder,2,1,0,440,200,160,3,0,15.7,0,9.9,20.1,64.3,ingested,0.05,start,,subdivision_v1.1
681746,AR2A,58.33,3047,1699,0.491,grid,4,0,0,485,180,140,9,0,21,0,0,27.1,65.8,ingested,0,end,,subdivision_v1.1
681747,RS20,9.89,4378,403,0.244,spine,1,0,0,135,150,110,1,0,11.3,0,0,76.9,13.7,ingested,0,end,,subdivision_v1.1
682183,R8,4.92,1040,353,0.585,spine,1,2,2,75,110,70,1,1,22,0.4,7.8,6,75.1,ingested,0.41,end,,subdivision_v1.1
682239,R8,21.02,1172,1030,0.758,grid,3,58,1,75,110,70,4,9,19.4,7.2,57,7.7,0.0,ingested,2.76,start,,subdivision_v1.1
682268,AR2A,22.98,1484,987,0.683,ladder,2,1,0,410,215,175,4,3,17.1,0,8.5,47.1,1.4,ingested,0.04,both,,subdivision_v1.1
682338,RS7.5,3.24,889,192,0.825,single_loaded,1,9,0,75,105,65,1,1,21.2,0,65.4,6,0.0,ingested,2.78,end,,subdivision_v1.1
682395,AR2A,20.93,1431,882,0.722,ladder,2,0,0,460,190,150,4,0,19.9,0,0,79.4,0.7,ingested,0,end,,subdivision_v1.1
682402,AR2A,24.21,2123,728,0.683,ladder,2,0,0,585,150,110,5,1,23.7,0,0,66.7,1.2,ingested,0,end,,subdivision_v1.1
682435,AR2A,22.38,,,0.824,,,0,,,,,,,,,,,100.0,,,,parcel_mostly_in_flood_hazard_or_wetland,subdivision_v1.1
682463,AR2A,27.55,2126,884,0.639,ladder,2,0,0,460,190,150,5,3,18.9,0,0,53.4,6.2,ingested,0,both,,subdivision_v1.1
682545,R15,8.66,1102,570,0.6,ladder,2,8,0,160,95,55,3,3,23.4,7.2,33.2,21.1,5.9,ingested,0.92,start,,subdivision_v1.1
682551,RS10,2.8,560,328,0.665,spine,1,2,0,90,115,75,2,1,25.2,2.6,17.1,34.7,15.9,ingested,0.71,side,,subdivision_v1.1
682572,R10,10.78,1254,506,0.739,ladder,2,15,2,125,80,40,4,6,29.3,5.2,32.9,19.7,0.0,ingested,1.39,both,,subdivision_v1.1
682602,R8,20.05,1343,1074,0.605,grid,4,51,3,90,90,50,6,3,27.4,6.1,48.6,11.3,4.4,ingested,2.54,end,,subdivision_v1.1
682644,R8,10.74,861,835,0.651,grid,3,27,1,85,95,55,4,4,25,7.6,47.7,12.7,0.0,ingested,2.51,start,,subdivision_v1.1
682649,R10,3.08,837,167,0.958,single_loaded,1,7,0,95,110,70,1,1,31.7,0,54.7,5.8,0.0,ingested,2.27,end,,subdivision_v1.1
682687,AR2A,19.51,1920,668,0.663,spine,1,2,1,400,220,180,1,1,7.6,0,22.5,51.1,7.0,ingested,0.1,both,,subdivision_v1.1
682704,AR2A,18.51,1611,610,0.821,spine,1,2,0,400,220,180,1,1,10.3,0,25.3,46.9,6.2,ingested,0.11,both,,subdivision_v1.1
